pmaid,name,lng,lat,adult_fitness_equipment,art_in_the_park,baseball/softball_fields,basketball_courts,dog_off_leash_areas,drinking_fountains,fire_pits,fishing_piers,football_fields,gardens,grills,hand_carry_boat_launches,motorized_boat_launches,picnic_sites,play_area,restrooms,skate_park,soccer_fields,spray_parks,swimming_beaches,tennis_courts,track_fields,trails,views,volleyball_courts,wading_pools
281,12th and Howe Play Park,-122.372985,47.636097,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
4159,12th Ave S Viewpoint,-122.317765,47.577953,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4467,12th Ave Square Park,-122.316455,47.607427,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4010,14th Ave NW Boat Ramp,-122.373536,47.660775,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
296,3001 E Madison,-122.293173,47.625169,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1000001,32nd Ave W Boat Launch,-122.398685,47.632345,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3158,6th Ave NW Pocket Park,-122.363566,47.684202,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
4404,A. B. Ernst Park,-122.348826,47.650087,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
1000002,Adams Street Boat Ramp,-122.267178,47.565219,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
244,Albert Davis Park,-122.298752,47.72016,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
445,Alki Beach Park,-122.402173,47.582912,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no
446,Alki Playground,-122.407312,47.578497,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no
3914,Alvin Larkins Park,-122.288745,47.614318,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
426,Amy Yee Tennis Center,-122.29742,47.584876,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
2927,Andover Place,-122.409993,47.568517,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
1556,Arapahoe Triangle,-122.409139,47.65129,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
485,Arroyos Natural Area,-122.387822,47.505679,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4081,Atlantic City Boat Ramp,-122.263078,47.522834,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
4243,Atlantic Street Park,-122.30566,47.589165,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
241,B.F. Day Playground,-122.349222,47.65603,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
4006,Bagley Viewpoint,-122.318347,47.643015,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
2840,Baker Park on Crown Hill,-122.374794,47.690119,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
4278,Ballard Commons Park,-122.385487,47.670549,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
4428,Ballard Corners Park,-122.379116,47.674186,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
497,Ballard Playground,-122.39155,47.672786,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
4073,Banner Way Triangle,-122.32343,47.685762,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3703,Bar-S Playground,-122.416054,47.575195,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
303,Bayview Playground,-122.386786,47.643802,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no
1000342,Bayview-Kinnear (Lower Kerry Park),-122.360626,47.628948,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
400,Beacon Hill Playground,-122.315325,47.586226,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes
3119,Beacon Place,-122.318716,47.596236,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4481,Beaver Pond Natural Area on Thornton Creek,-122.323168,47.703288,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4028,Beck Place,-122.312027,47.671888,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
440,Beer Sheva Park,-122.263223,47.524191,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
4472,Bell Street Park,-122.344866,47.614696,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4022,Bellevue Place,-122.327658,47.626904,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4415,Belltown Cottage Park,-122.350776,47.613889,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
346,Belmont Place,-122.324408,47.625727,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
447,Belvedere Park,-122.376896,47.580673,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
475,Belvoir Place,-122.283215,47.655124,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
436,Benefit Playground,-122.284294,47.518998,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no
4245,Benvenuto Viewpoint,-122.303029,47.589841,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
253,Bergen Place,-122.384495,47.66833,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
304,Bhy Kracke Park,-122.348403,47.630426,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
288,Bitter Lake Playfield,-122.349314,47.724209,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes
4450,Bitter Lake Reservoir Open Space,-122.348583,47.731181,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
3907,Blaine Place,-122.364152,47.626809,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4418,Blue Dog Pond,-122.297814,47.589982,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
238,Blue Ridge Circle,-122.380095,47.70439,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
239,Blue Ridge Place,-122.381171,47.703423,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
348,Boren Place,-122.320952,47.604999,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
349,Boylston Place,-122.32094,47.609976,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
401,Bradner Gardens Park,-122.295426,47.587419,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
402,Brighton Playfield,-122.2821,47.548387,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no
