PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
281,12th and Howe Play Park,-122.372985,47.636097,,,,,,,,,,,,,,,yes,,,,,,,,,,,
4159,12th Ave S Viewpoint,-122.317765,47.577953,,,,,,,,,,,,,,,,,,,,,,,,yes,,
4467,12th Ave Square Park,-122.316455,47.607427,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,14th Ave NW Boat Ramp,-122.373536,47.660775,,,,,,,,,,,,,yes,,,,,,,,,,,,,
296,3001 E Madison,-122.293173,47.625169,,,,,,,,,,,,,,,,,,,,,,,,,,
1000001,32nd Ave W Boat Launch,-122.398685,47.632345,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,6th Ave NW Pocket Park,-122.363566,47.684202,,,,,,,,,,,,,,,yes,,,,,,,,,,,
4404,A. B. Ernst Park,-122.348826,47.650087,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
1000002,Adams Street Boat Ramp,-122.267178,47.565219,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Albert Davis Park,-122.298752,47.72016,,yes,,,,yes,,,,,,,,,yes,,,,,,,,,,,
445,Alki Beach Park,-122.402173,47.582912,,yes,,,,yes,yes,,,,yes,yes,,,,yes,,,,,,,,yes,,
446,Alki Playground,-122.407312,47.578497,,yes,yes,yes,,,,,,,,,,yes,yes,yes,,yes,,,yes,,,,,
3914,Alvin Larkins Park,-122.288745,47.614318,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Amy Yee Tennis Center,-122.29742,47.584876,,,,,,yes,,,,,,,,,,,,,,,yes,,,,,
2927,Andover Place,-122.409993,47.568517,,,,,,,,,,,,,,,,,,,,,,,,yes,,
1556,Arapahoe Triangle,-122.409139,47.65129,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Arroyos Natural Area,-122.387822,47.505679,,,,,,,,,,,,,,,,,,,,,,,,,,
4081,Atlantic City Boat Ramp,-122.263078,47.522834,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,
4243,Atlantic Street Park,-122.30566,47.589165,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,
241,B.F. Day Playground,-122.349222,47.65603,,,yes,yes,,yes,,,,,,,,,yes,,,yes,,,,,,,,
4006,Bagley Viewpoint,-122.318347,47.643015,,,,,,,,,,,,,,,,,,,,,,,,yes,,
2840,Baker Park on Crown Hill,-122.374794,47.690119,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,
4278,Ballard Commons Park,-122.385487,47.670549,,yes,,,,yes,,,,,,,,,,,yes,,yes,,,,,,,
4428,Ballard Corners Park,-122.379116,47.674186,,,,,,,,,,,,,,,yes,,,,,,,,,,,
